Type,Model Number,Vendor,Still Manufacture
Paper Shredders,Datastroyer 0077SF (Intimus 0077SF),Whitaker Brothers Business Machines Inc.,No
Paper Shredders,Datastroyer 602SF (Intimus 602SF),Whitaker Brothers Business Machines Inc.,No
Punched Tape Disintegrators,SEM 250 (Device Sanitizes CDs also),Security Engineered Machinery Inc,Yes
Punched Tape Disintegrators,Datastroyer KTS 200,Whitaker Brothers Inc,Yes
Punched Tape Disintegrators,AML KD-100,Applied Magnetics Laboratory Inc.,No
Punched Tape Disintegrators,HSM Nanoshredd 726,HSM of America,No
Punched Tape Disintegrators,Proton 9500,Proton Engineering inc ,No
Solid State Disintegrators,Infostroyer 151-HP,Applied Magnetics Laboratory Inc.,Yes
Solid State Disintegrators,MX-10,Capital Shredder Corp,Yes
Solid State Disintegrators,SSMD-2mm,Data Security inc ,Yes
Solid State Disintegrators,GB12 Solid State System,GigaBiter LLC,Yes
Solid State Disintegrators,GB16 Solid State System,GigaBiter LLC,Yes
Solid State Disintegrators,GB21 System,GigaBiter LLC,Yes
Solid State Disintegrators,Kobra SSD,Marquis Business Systems,Yes
Solid State Disintegrators,0200 OMD/SSD-C,Security Engineered Machinery inc,Yes
